,quantidade,quantidadeSuspeitos,mediaMovel,data,mediaMovelObito,quantidadeObitos
0,240,11,0.0,2020-03-15,0.0,0
1,169,8,0.0,2020-03-16,0.0,0
2,198,3,0.0,2020-03-17,0.0,0
3,255,10,0.0,2020-03-18,0.0,0
4,221,8,0.0,2020-03-19,0.0,0
5,485,7,0.0,2020-03-20,0.0,0
6,201,9,218.42,2020-03-21,0.0,0
7,214,4,224.85,2020-03-22,0.0,0
8,247,9,231.85,2020-03-23,0.0,0
9,259,3,232.42,2020-03-24,0.42,3
10,350,6,250.85,2020-03-25,0.71,2
11,217,3,212.57,2020-03-26,1.14,3
12,234,7,217.28,2020-03-27,1.57,3
13,203,4,215.71,2020-03-28,1.85,2
14,189,7,207.42,2020-03-29,2.42,4
15,375,5,224.0,2020-03-30,2.71,5
16,168,5,198.0,2020-03-31,2.85,3
17,636,15,257.85,2020-04-01,3.0,4
18,289,4,265.71,2020-04-02,3.85,9
19,281,7,276.85,2020-04-03,5.0,10
20,301,12,292.85,2020-04-04,5.42,7
21,489,11,309.14,2020-04-05,5.85,8
22,345,6,334.42,2020-04-06,7.28,13
23,344,13,292.71,2020-04-07,7.57,6
24,382,7,306.0,2020-04-08,7.57,9
25,417,13,325.42,2020-04-09,8.0,13
26,783,17,394.28,2020-04-10,9.0,14
27,439,13,387.14,2020-04-11,9.71,13
28,521,18,412.28,2020-04-12,10.0,15
29,667,23,458.42,2020-04-13,10.57,10
30,671,16,499.71,2020-04-14,12.42,22
31,1014,39,585.0,2020-04-15,13.14,18
32,639,21,564.42,2020-04-16,13.85,19
33,657,26,595.57,2020-04-17,15.71,26
34,650,27,614.0,2020-04-18,16.42,20
35,676,15,615.28,2020-04-19,18.85,27
36,1601,50,748.14,2020-04-20,20.42,33
37,843,27,723.71,2020-04-21,22.42,32
38,980,32,772.42,2020-04-22,24.14,31
39,1138,40,841.14,2020-04-23,24.71,30
40,1273,40,930.14,2020-04-24,29.85,56
41,1623,38,1065.42,2020-04-25,34.0,56
42,1226,36,1011.85,2020-04-26,37.71,59
43,1555,43,1113.57,2020-04-27,42.0,62
44,1792,40,1229.57,2020-04-28,46.0,59
45,1523,34,1284.57,2020-04-29,52.71,77
46,2257,55,1425.14,2020-04-30,58.85,99
47,3387,92,1677.14,2020-05-01,63.85,91
48,2065,51,1797.0,2020-05-02,69.42,98
49,1792,56,1830.85,2020-05-03,77.42,118
50,2341,56,1909.28,2020-05-04,84.14,106
51,2901,78,2106.14,2020-05-05,89.85,117
52,2134,51,2088.57,2020-05-06,91.42,110
53,2154,61,1912.42,2020-05-07,93.57,106
54,2413,63,1962.14,2020-05-08,97.85,128
55,2117,58,2008.57,2020-05-09,102.0,147
56,3252,94,2138.71,2020-05-10,105.42,130
57,2393,51,2066.14,2020-05-11,111.71,161
58,2402,64,2104.42,2020-05-12,117.0,147
59,2205,39,2111.71,2020-05-13,123.42,151
60,2272,51,2091.57,2020-05-14,125.0,139
61,3467,62,2284.42,2020-05-15,124.0,140
62,1875,30,2087.71,2020-05-16,124.42,133
63,2020,37,2034.42,2020-05-17,123.85,157
64,2763,38,2086.0,2020-05-18,124.14,149
65,2117,29,2073.42,2020-05-19,125.0,157
66,3385,63,2232.42,2020-05-20,127.0,153
67,2065,35,2032.14,2020-05-21,128.42,150
68,2075,27,2060.71,2020-05-22,129.85,143
69,1595,24,2000.0,2020-05-23,124.14,117
70,1400,25,1805.28,2020-05-24,118.42,109
71,2910,34,1918.57,2020-05-25,116.57,144
72,1837,28,1697.42,2020-05-26,109.14,101
73,1644,31,1637.28,2020-05-27,104.14,115
74,2126,21,1644.57,2020-05-28,99.57,111
75,1946,23,1694.71,2020-05-29,100.42,123
76,1989,38,1778.85,2020-05-30,97.14,86
77,1350,14,1556.0,2020-05-31,89.14,88
78,3507,47,1794.57,2020-06-01,88.57,97
