,quantidade,quantidadeSuspeitos,mediaMovel,data,mediaMovelObito,quantidadeObitos
0,238,13,34.0,2020-03-15,0.0,0
1,168,9,58.0,2020-03-16,0.0,0
2,197,4,86.14,2020-03-17,0.0,0
3,252,10,122.14,2020-03-18,0.0,0
4,218,6,153.28,2020-03-19,0.0,0
5,483,6,222.28,2020-03-20,0.0,0
6,202,11,217.14,2020-03-21,0.0,0
7,213,4,223.57,2020-03-22,0.0,0
8,245,7,230.42,2020-03-23,0.0,0
9,257,2,231.14,2020-03-24,0.42,3
10,347,5,249.57,2020-03-25,0.71,2
11,215,3,211.28,2020-03-26,1.14,3
12,232,6,215.57,2020-03-27,1.57,3
13,200,4,213.71,2020-03-28,1.85,2
14,186,6,205.28,2020-03-29,2.42,4
15,375,3,222.14,2020-03-30,2.71,5
16,167,4,196.42,2020-03-31,2.85,3
17,630,15,255.71,2020-04-01,3.0,4
18,288,3,263.71,2020-04-02,3.85,9
19,279,7,275.0,2020-04-03,5.0,10
20,300,7,291.28,2020-04-04,5.42,7
21,485,10,307.0,2020-04-05,5.85,8
22,346,5,332.57,2020-04-06,7.28,13
23,342,14,291.42,2020-04-07,7.57,6
24,383,6,305.0,2020-04-08,7.57,9
25,417,11,324.71,2020-04-09,8.0,13
26,782,17,393.57,2020-04-10,9.0,14
27,439,13,387.0,2020-04-11,9.71,13
28,518,18,411.57,2020-04-12,10.0,15
29,667,23,458.0,2020-04-13,10.57,10
30,671,16,499.14,2020-04-14,12.42,22
31,1013,36,584.28,2020-04-15,13.14,18
32,638,21,563.71,2020-04-16,13.85,19
33,657,26,594.85,2020-04-17,15.71,26
34,650,27,613.71,2020-04-18,16.42,20
35,676,18,615.0,2020-04-19,18.85,27
36,1602,50,748.0,2020-04-20,20.42,33
37,842,26,723.57,2020-04-21,22.42,32
38,978,32,772.14,2020-04-22,23.85,29
39,1134,42,840.28,2020-04-23,24.57,31
40,1271,38,929.0,2020-04-24,29.71,56
41,1621,40,1064.0,2020-04-25,33.85,56
42,1229,36,1010.71,2020-04-26,37.57,59
43,1558,43,1113.0,2020-04-27,41.85,62
44,1789,40,1228.85,2020-04-28,46.14,59
45,1517,35,1283.57,2020-04-29,52.71,77
46,2260,57,1424.85,2020-04-30,58.85,99
47,3384,91,1676.71,2020-05-01,63.85,91
48,2062,52,1795.71,2020-05-02,69.42,98
49,1786,57,1828.28,2020-05-03,77.28,117
50,2340,58,1907.0,2020-05-04,83.85,105
51,2892,77,2103.42,2020-05-05,89.57,117
52,2134,51,2085.42,2020-05-06,91.14,110
53,2157,61,1910.14,2020-05-07,93.28,106
54,2414,65,1960.42,2020-05-08,97.57,128
55,2117,58,2007.71,2020-05-09,101.85,147
56,3252,98,2138.0,2020-05-10,105.42,130
57,2390,53,2066.28,2020-05-11,111.71,161
58,2412,63,2106.0,2020-05-12,116.71,145
59,2208,40,2113.28,2020-05-13,123.0,150
60,2277,51,2093.71,2020-05-14,124.57,139
61,3466,62,2286.42,2020-05-15,123.57,140
62,1875,30,2089.71,2020-05-16,124.0,133
63,2019,37,2036.71,2020-05-17,123.42,157
64,2758,38,2086.14,2020-05-18,124.0,149
65,2121,28,2073.71,2020-05-19,125.14,158
66,3384,63,2231.85,2020-05-20,126.85,151
67,2069,34,2032.28,2020-05-21,128.28,150
68,2070,28,2060.14,2020-05-22,129.71,143
69,1592,27,1999.14,2020-05-23,124.0,117
70,1403,26,1805.57,2020-05-24,118.28,109
71,2914,30,1918.85,2020-05-25,116.28,144
72,1839,29,1698.14,2020-05-26,109.14,101
73,1642,32,1637.14,2020-05-27,104.14,115
74,2125,20,1645.0,2020-05-28,99.71,112
75,1947,23,1695.71,2020-05-29,100.57,123
76,1986,23,1779.0,2020-05-30,97.28,86
77,1348,15,1555.28,2020-05-31,89.14,87
78,3504,42,1793.14,2020-06-01,88.42,96
79,2316,20,1889.42,2020-06-02,87.28,107
80,1867,32,1852.57,2020-06-03,80.42,64
81,1869,22,1841.42,2020-06-04,78.14,107
82,2436,35,1905.71,2020-06-05,77.71,83
83,1947,28,1991.28,2020-06-06,76.14,76
84,1401,28,1690.85,2020-06-07,72.71,72
85,2339,22,1694.14,2020-06-08,69.14,82
86,1997,35,1712.71,2020-06-09,72.71,89
87,2939,46,1865.57,2020-06-10,68.14,75
88,1763,24,1769.42,2020-06-11,66.14,69
89,2054,21,1784.71,2020-06-12,64.28,63
90,1545,18,1805.28,2020-06-13,63.42,66
91,1499,20,1685.28,2020-06-14,61.42,68
92,2831,34,1804.42,2020-06-15,59.28,74
93,2202,20,1699.14,2020-06-16,57.42,62
94,1860,16,1713.0,2020-06-17,57.0,66
95,2122,27,1722.71,2020-06-18,57.28,65
96,2174,28,1812.57,2020-06-19,55.71,55
97,2826,30,2002.14,2020-06-20,52.0,42
98,1391,11,1796.42,2020-06-21,48.14,47
99,2302,28,1810.71,2020-06-22,49.42,71
100,2042,14,1836.71,2020-06-23,47.57,53
101,1837,22,1796.0,2020-06-24,45.57,51
102,2154,21,1793.14,2020-06-25,47.14,66
103,2285,19,1715.85,2020-06-26,48.57,52
104,1480,15,1728.57,2020-06-27,49.42,53
105,1625,21,1631.85,2020-06-28,46.14,48
106,2073,19,1636.28,2020-06-29,47.71,64
107,2438,27,1722.14,2020-06-30,47.57,50
108,3108,31,1858.42,2020-07-01,45.28,50
109,2200,19,1846.28,2020-07-02,45.71,55
110,1815,14,1894.14,2020-07-03,44.0,41
111,1434,20,1866.85,2020-07-04,45.0,55
112,1655,14,1807.14,2020-07-05,43.14,51
113,2212,21,1774.85,2020-07-06,42.14,43
114,1979,20,1613.57,2020-07-07,41.71,47
115,1917,15,1573.14,2020-07-08,42.57,61
116,1793,12,1570.0,2020-07-09,43.28,46
117,2795,24,1764.42,2020-07-10,40.28,34
118,1170,20,1695.14,2020-07-11,39.28,44
119,1263,12,1559.57,2020-07-12,39.28,43
120,1928,16,1552.28,2020-07-13,38.28,40
121,1704,28,1521.85,2020-07-14,35.42,41
122,2038,21,1556.85,2020-07-15,33.57,33
123,1478,12,1368.71,2020-07-16,34.42,40
124,1808,11,1459.85,2020-07-17,33.57,38
125,1169,10,1446.42,2020-07-18,30.57,22
126,1143,6,1334.28,2020-07-19,30.85,42
127,2402,29,1434.0,2020-07-20,31.28,44
128,1577,15,1368.14,2020-07-21,32.14,39
129,1352,7,1350.14,2020-07-22,31.42,35
130,1335,15,1282.57,2020-07-23,30.42,31
131,1345,20,1307.71,2020-07-24,33.0,40
132,1390,13,1343.0,2020-07-25,33.28,44
133,983,16,1140.28,2020-07-26,30.85,27
134,1761,10,1166.57,2020-07-27,29.42,29
135,1288,9,1157.42,2020-07-28,28.57,29
136,1282,15,1149.85,2020-07-29,28.57,31
137,1381,14,1155.0,2020-07-30,28.28,38
138,1187,24,1126.0,2020-07-31,25.85,27
139,1792,28,1241.57,2020-08-01,25.85,27
140,922,9,1121.71,2020-08-02,26.14,31
141,1372,29,1133.71,2020-08-03,25.85,27
142,1281,8,1133.57,2020-08-04,24.42,21
143,1301,16,1122.14,2020-08-05,24.14,36
144,1038,9,1100.85,2020-08-06,23.85,25
145,1053,25,995.28,2020-08-07,23.14,22
146,1002,19,1006.71,2020-08-08,23.14,31
147,822,14,928.14,2020-08-09,24.14,34
148,1833,23,1007.0,2020-08-10,25.42,30
149,1009,8,965.28,2020-08-11,23.71,24
150,1037,24,965.14,2020-08-12,24.28,29
151,895,13,942.57,2020-08-13,24.71,25
152,1154,21,964.28,2020-08-14,23.14,20
153,961,12,984.14,2020-08-15,20.85,18
154,768,6,832.0,2020-08-16,19.42,20
155,1137,31,850.28,2020-08-17,20.14,29
156,1085,13,857.14,2020-08-18,19.71,26
157,1011,19,873.71,2020-08-19,19.14,21
158,1211,11,881.85,2020-08-20,19.71,24
159,1047,20,894.14,2020-08-21,20.0,20
160,704,6,885.0,2020-08-22,20.0,20
161,631,9,812.71,2020-08-23,18.28,17
162,921,15,789.28,2020-08-24,17.0,17
163,897,80,773.0,2020-08-25,15.71,12
164,713,16,701.85,2020-08-26,14.57,16
165,824,11,670.0,2020-08-27,13.57,13
166,902,16,698.28,2020-08-28,13.14,17
167,525,4,683.14,2020-08-29,13.85,22
168,640,18,643.0,2020-08-30,15.0,25
169,857,15,637.28,2020-08-31,15.71,17
170,1237,14,712.14,2020-09-01,15.85,17
171,878,10,719.85,2020-09-02,16.28,16
172,829,28,709.42,2020-09-03,16.14,16
173,777,34,745.42,2020-09-04,17.57,32
174,689,8,752.42,2020-09-05,15.85,13
175,502,7,701.71,2020-09-06,16.14,19
176,592,7,609.57,2020-09-07,17.0,23
177,856,17,606.42,2020-09-08,17.0,16
178,842,14,608.28,2020-09-09,16.71,14
179,974,12,636.42,2020-09-10,14.42,16
180,754,18,645.71,2020-09-11,15.57,21
181,619,7,662.42,2020-09-12,15.85,21
182,502,5,649.57,2020-09-13,15.0,17
183,969,12,665.71,2020-09-14,14.71,14
184,995,50,687.57,2020-09-15,15.0,16
185,813,8,664.57,2020-09-16,15.57,20
186,731,7,661.28,2020-09-17,14.85,16
187,792,72,686.0,2020-09-18,14.85,21
188,605,13,700.71,2020-09-19,15.0,18
189,797,11,676.14,2020-09-20,14.57,11
190,763,11,643.0,2020-09-21,14.57,16
191,689,7,625.28,2020-09-22,14.85,22
192,660,12,615.14,2020-09-23,15.14,18
193,634,9,592.57,2020-09-24,14.14,14
194,843,49,626.57,2020-09-25,14.0,17
195,506,8,585.0,2020-09-26,13.57,8
196,415,5,535.28,2020-09-27,14.71,24
197,803,9,551.57,2020-09-28,13.71,15
198,683,16,554.85,2020-09-29,13.85,19
199,737,38,569.57,2020-09-30,13.85,14
200,1000,19,592.0,2020-10-01,13.0,11
201,592,29,604.28,2020-10-02,13.85,14
202,434,5,607.0,2020-10-03,11.57,8
203,404,3,550.0,2020-10-04,10.85,10
204,789,29,565.14,2020-10-05,10.71,18
205,596,6,545.0,2020-10-06,10.42,12
206,568,7,483.28,2020-10-07,10.28,10
207,679,10,495.71,2020-10-08,10.42,15
208,683,12,531.28,2020-10-09,10.42,8
209,645,8,565.71,2020-10-10,10.57,11
210,346,7,502.42,2020-10-11,9.14,8
211,460,8,483.0,2020-10-12,9.0,11
212,770,9,511.85,2020-10-13,8.85,9
213,764,23,524.0,2020-10-14,8.57,13
214,778,14,537.57,2020-10-15,8.85,10
215,737,169,550.71,2020-10-16,8.42,8
216,484,119,570.42,2020-10-17,8.28,7
217,444,13,568.14,2020-10-18,8.57,13
218,851,6,579.71,2020-10-19,8.85,11
219,1007,51,614.42,2020-10-20,8.42,10
220,719,8,606.0,2020-10-21,7.85,6
221,681,16,598.0,2020-10-22,8.57,13
222,786,15,641.14,2020-10-23,9.28,12
223,457,8,643.0,2020-10-24,8.85,10
224,425,15,582.14,2020-10-25,9.42,15
225,786,24,550.57,2020-10-26,10.14,15
226,662,64,542.42,2020-10-27,10.28,7
227,619,2,533.57,2020-10-28,9.42,7
228,817,16,538.0,2020-10-29,9.14,10
229,739,13,578.28,2020-10-30,9.14,10
230,447,19,581.42,2020-10-31,8.14,8
231,547,18,547.28,2020-11-01,6.71,5
232,646,10,545.0,2020-11-02,7.28,11
233,1013,4,601.28,2020-11-03,7.85,11
234,824,69,602.28,2020-11-04,7.0,4
235,951,17,632.57,2020-11-05,6.28,5
236,857,92,691.14,2020-11-06,5.85,5
